"wwtp_jurisdiction","wwtp_id","reporting_jurisdiction","sample_location","sample_location_specify","key_plot_id","county_names","county_fips","population_served","date_start","date_end","ptc_15d","detect_prop_15d","percentile","sampling_prior","first_sample_date"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-17","2023-07-31",411,40,32,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-19","2023-08-02",189,40,39.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-24","2023-08-07",29,60,47.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-26","2023-08-09",-63,60,52.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-07-31","2023-08-14",-20,60,51.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-02","2023-08-16",561,60,57.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-07","2023-08-21",74,60,55.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-09","2023-08-23",-46,40,47.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-14","2023-08-28",-67,60,53.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-22","2023-09-05",228986,67,57.667,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-24","2023-09-07",3504,100,81.667,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-08-30","2023-09-13",-99,100,93,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-04","2023-09-18",-98,100,88.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-06","2023-09-20",-77,75,74.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-11","2023-09-25",-95,50,64.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-13","2023-09-27",-75,60,67.8,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-18","2023-10-02",-61,40,50,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-20","2023-10-04",-54,20,36.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-09-25","2023-10-09",-21,40,41.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-02","2023-10-16",915,50,41.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-04","2023-10-18",166,50,50,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-09","2023-10-23",-77,50,50,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-11","2023-10-25",-88,25,45.25,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-16","2023-10-30",-80,20,38,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2023-10-18","2023-11-01",-40,0,23.2,"no","2022-08-08"
